,DATE,GDP,FEDFUNDS,USD3MTD156N,MORTGAGE30US,OCM1P,UNRATE
0,1998-01-01,8866.48,,,,0.0585,4.6
1,1998-04-01,8969.699,,5.70703,,0.0589,4.3
2,1998-07-01,9121.097,5.54,5.71875,,0.0591,4.5
3,1998-10-01,9293.991,5.07,5.31250,,0.0556,4.5
4,1999-01-01,9417.264000000001,4.63,.,,0.0531,4.3
5,1999-04-01,9524.152,4.74,5.00000,,0.0536,4.3
6,1999-07-01,9681.856,4.99,5.30250,,0.0596,4.3
7,1999-10-01,9899.378,5.2,6.08500,7.7,0.0645,4.1
8,2000-01-01,10002.857,5.45,,,0.0649,4.0
9,2000-04-01,10247.679,6.02,,,0.068,3.8
10,2000-07-01,10319.825,6.54,,,0.0709,4.0
11,2000-10-01,10439.025,6.51,,,0.0693,3.9
12,2001-01-01,10472.879,5.98,.,,0.0636,4.2
13,2001-04-01,10597.822,4.8,,,0.0533,4.4
14,2001-07-01,10596.294,3.77,,,0.0437,4.6
15,2001-10-01,10660.294,2.49,2.60000,,0.0336,5.3
16,2002-01-01,10788.952,1.73,.,,0.0282,5.7
17,2002-04-01,10893.207,1.75,.,,0.0291,5.9
18,2002-07-01,10992.051000000001,1.73,1.86000,,0.0272,5.8
19,2002-10-01,11071.463,1.75,1.76188,,0.0258,5.7
20,2003-01-01,11183.507,1.24,.,,0.0226,5.8
21,2003-04-01,11312.875,1.26,1.27750,,0.0212,6.0
22,2003-07-01,11567.326000000001,1.01,1.11000,,0.0194,6.2
23,2003-10-01,11769.275,1.01,1.15000,,0.0202,6.0
24,2004-01-01,11920.169,1.0,.,,0.02,5.7
25,2004-04-01,12108.987,1.0,1.11000,5.52,0.0209,5.6
26,2004-07-01,12303.34,1.26,1.60000,6.21,0.0271,5.5
27,2004-10-01,12522.425,1.76,2.02750,,0.0302,5.5
28,2005-01-01,12761.337,2.28,,,0.0364,5.3
29,2005-04-01,12910.021999999999,2.79,3.12000,,0.040999999999999995,5.2
30,2005-07-01,13142.873,3.26,3.52875,,0.0452,5.0
31,2005-10-01,13332.316,3.78,,,0.0499,5.0
32,2006-01-01,13603.933,4.29,,,0.0535,4.7
33,2006-04-01,13749.806,4.79,,,0.0578,4.7
34,2006-07-01,13867.469,5.24,,,0.0611,4.7
35,2006-10-01,14037.228000000001,5.25,,,0.0594,4.4
36,2007-01-01,14208.569,5.25,.,,0.0594,4.6
37,2007-04-01,14382.363000000001,5.25,,,0.0591,4.5
38,2007-07-01,14535.003,5.26,,,0.0593,4.7
39,2007-10-01,14681.501,4.76,5.23000,,0.0574,4.7
40,2008-01-01,14651.038999999999,3.94,.,,0.0468,5.0
41,2008-04-01,14805.611,2.28,2.68375,,0.0384,5.0
42,2008-07-01,14835.187,2.01,2.78750,,0.0406,5.8
43,2008-10-01,14559.543,0.97,4.15000,,0.059000000000000004,6.5
44,2009-01-01,14394.546999999999,0.15,.,,0.0326,7.8
45,2009-04-01,14352.85,0.15,1.17688,,0.031,9.0
46,2009-07-01,14420.312,0.16,0.58750,,0.0211,9.5
47,2009-10-01,14628.021,0.12,0.28438,4.94,0.0173,10.0
48,2010-01-01,14721.35,0.11,.,,0.0164,9.8
49,2010-04-01,14926.098,0.2,0.29150,5.08,0.0156,9.9
50,2010-07-01,15079.917,0.18,0.53331,4.58,0.0166,9.4
51,2010-10-01,15240.843,0.19,0.29063,,0.0154,9.4
52,2011-01-01,15285.828000000001,0.17,,,0.0149,9.1
53,2011-04-01,15496.188999999998,0.1,0.30100,,0.0149,9.1
54,2011-07-01,15591.85,0.07,0.24575,,0.0146,9.0
55,2011-10-01,15796.46,0.07,,,0.0163,8.8
56,2012-01-01,16019.758,0.08,,,0.0167,8.3
57,2012-04-01,16152.257,0.14,,,0.016,8.2
58,2012-07-01,16257.151000000002,0.16,,,0.0159,8.2
59,2012-10-01,16358.863000000001,0.16,0.35525,,0.0153,7.8
60,2013-01-01,16569.591,0.14,.,,0.0146,8.0
61,2013-04-01,16637.926,0.15,.,,0.0139,7.6
62,2013-07-01,16848.748,0.09,0.27310,,0.0138,7.3
63,2013-10-01,17083.137,0.09,0.24585,,0.0138,7.2
64,2014-01-01,17104.555,0.07,.,,,6.6
65,2014-04-01,17432.909,0.09,0.2281,,,6.2
66,2014-07-01,17721.657,0.09,0.2318,,,6.2
67,2014-10-01,17849.912,0.09,0.2326,,,5.7
68,2015-01-01,17984.178,0.11,.,,,5.7
69,2015-04-01,18219.405,0.12,0.27075,,,5.4
70,2015-07-01,18344.713,0.13,0.2836,,,5.2
71,2015-10-01,18350.825,0.12,0.324,3.85,,5.0
72,2016-01-01,18424.283,0.34,.,,,4.9
73,2016-04-01,18637.253,0.37,0.6291,,,5.0
74,2016-07-01,18806.743000000002,0.39,0.65335,,,4.8
75,2016-10-01,18991.883,0.4,,,,4.9
76,2017-01-01,19190.431,0.65,,,,4.7
77,2017-04-01,19356.648999999998,0.9,,,,4.4
78,2017-07-01,19611.703999999998,1.15,,,,4.3
79,2017-10-01,19918.91,1.15,,,,4.1
80,2018-01-01,20163.159,1.41,.,,,4.1
81,2018-04-01,20510.177,1.69,,,,3.9
82,2018-07-01,20749.752,1.91,,,,3.9
83,2018-10-01,20897.804,2.19,2.39813,,,3.8
84,2019-01-01,21098.827,2.4,.,,,4.0
85,2019-04-01,21340.267000000003,2.42,2.5955,,,3.6
86,2019-07-01,21525.819,2.4,2.33188,,,3.7
