DATE,CPIAUCSL
1998-01-01,162.0
1998-02-01,162.0
1998-03-01,162.0
1998-04-01,162.2
1998-05-01,162.6
1998-06-01,162.8
1998-07-01,163.2
1998-08-01,163.4
1998-09-01,163.5
1998-10-01,163.9
1998-11-01,164.1
1998-12-01,164.4
1999-01-01,164.7
1999-02-01,164.7
1999-03-01,164.8
1999-04-01,165.9
1999-05-01,166.0
1999-06-01,166.0
1999-07-01,166.7
1999-08-01,167.1
1999-09-01,167.8
1999-10-01,168.1
1999-11-01,168.4
1999-12-01,168.8
2000-01-01,169.3
2000-02-01,170.0
2000-03-01,171.0
2000-04-01,170.9
2000-05-01,171.2
2000-06-01,172.2
2000-07-01,172.7
2000-08-01,172.7
2000-09-01,173.6
2000-10-01,173.9
2000-11-01,174.2
2000-12-01,174.6
2001-01-01,175.6
2001-02-01,176.0
2001-03-01,176.1
2001-04-01,176.4
2001-05-01,177.3
2001-06-01,177.7
2001-07-01,177.4
2001-08-01,177.4
2001-09-01,178.1
2001-10-01,177.6
2001-11-01,177.5
2001-12-01,177.4
2002-01-01,177.7
2002-02-01,178.0
2002-03-01,178.5
2002-04-01,179.3
2002-05-01,179.5
2002-06-01,179.6
2002-07-01,180.0
2002-08-01,180.5
2002-09-01,180.8
2002-10-01,181.2
2002-11-01,181.5
2002-12-01,181.8
2003-01-01,182.600
2003-02-01,183.600
2003-03-01,183.900
2003-04-01,183.200
2003-05-01,182.900
2003-06-01,183.100
2003-07-01,183.700
2003-08-01,184.5
2003-09-01,185.100
2003-10-01,184.9
2003-11-01,185.000
2003-12-01,185.500
2004-01-01,186.300
2004-02-01,186.700
2004-03-01,187.100
2004-04-01,187.400
2004-05-01,188.200
2004-06-01,188.900
2004-07-01,189.100
2004-08-01,189.200
2004-09-01,189.800
2004-10-01,190.8
2004-11-01,191.700
2004-12-01,191.700
2005-01-01,191.600
2005-02-01,192.400
2005-03-01,193.100
2005-04-01,193.700
2005-05-01,193.600
2005-06-01,193.700
2005-07-01,194.900
2005-08-01,196.100
2005-09-01,198.800
2005-10-01,199.100
2005-11-01,198.100
2005-12-01,198.100
2006-01-01,199.300
2006-02-01,199.400
2006-03-01,199.700
2006-04-01,200.700
2006-05-01,201.300
2006-06-01,201.800
2006-07-01,202.900
2006-08-01,203.800
2006-09-01,202.800
2006-10-01,201.900
2006-11-01,202.000
2006-12-01,203.100
2007-01-01,203.437
2007-02-01,204.226
2007-03-01,205.288
2007-04-01,205.904
2007-05-01,206.755
2007-06-01,207.234
2007-07-01,207.603
2007-08-01,207.667
2007-09-01,208.547
2007-10-01,209.190
2007-11-01,210.834
2007-12-01,211.445
2008-01-01,212.174
2008-02-01,212.687
2008-03-01,213.448
2008-04-01,213.942
2008-05-01,215.208
2008-06-01,217.463
2008-07-01,219.016
2008-08-01,218.690
2008-09-01,218.877
2008-10-01,216.995
2008-11-01,213.153
2008-12-01,211.398
2009-01-01,211.933
2009-02-01,212.705
2009-03-01,212.495
2009-04-01,212.709
2009-05-01,213.022
2009-06-01,214.790
2009-07-01,214.726
2009-08-01,215.445
2009-09-01,215.861
2009-10-01,216.509
2009-11-01,217.234
2009-12-01,217.347
2010-01-01,217.488
2010-02-01,217.281
2010-03-01,217.353
2010-04-01,217.403
2010-05-01,217.290
2010-06-01,217.199
2010-07-01,217.605
2010-08-01,217.923
2010-09-01,218.275
2010-10-01,219.035
2010-11-01,219.590
2010-12-01,220.472
2011-01-01,221.187
2011-02-01,221.898
2011-03-01,223.046
2011-04-01,224.093
2011-05-01,224.806
2011-06-01,224.806
2011-07-01,225.395
2011-08-01,226.106
2011-09-01,226.597
2011-10-01,226.750
2011-11-01,227.169
2011-12-01,227.223
2012-01-01,227.842
2012-02-01,228.329
2012-03-01,228.807
2012-04-01,229.187
2012-05-01,228.713
2012-06-01,228.524
2012-07-01,228.590
2012-08-01,229.918
2012-09-01,231.015
2012-10-01,231.638
2012-11-01,231.249
2012-12-01,231.221
2013-01-01,231.679
2013-02-01,232.937
2013-03-01,232.282
2013-04-01,231.797
2013-05-01,231.893
2013-06-01,232.445
2013-07-01,232.900
2013-08-01,233.456
2013-09-01,233.544
2013-10-01,233.669
2013-11-01,234.100
2013-12-01,234.719
2014-01-01,235.288
2014-02-01,235.547
2014-03-01,236.028
2014-04-01,236.468
2014-05-01,236.918
2014-06-01,237.231
2014-07-01,237.498
2014-08-01,237.460
2014-09-01,237.477
2014-10-01,237.430
2014-11-01,236.983
2014-12-01,236.252
2015-01-01,234.718
2015-02-01,235.236
2015-03-01,236.005
2015-04-01,236.156
2015-05-01,236.974
2015-06-01,237.684
2015-07-01,238.053
2015-08-01,238.028
2015-09-01,237.506
2015-10-01,237.781
2015-11-01,238.016
2015-12-01,237.817
2016-01-01,237.833
2016-02-01,237.469
2016-03-01,238.038
2016-04-01,238.827
2016-05-01,239.464
2016-06-01,240.167
2016-07-01,240.150
2016-08-01,240.602
2016-09-01,241.051
2016-10-01,241.691
2016-11-01,242.029
2016-12-01,242.772
2017-01-01,243.780
2017-02-01,243.961
2017-03-01,243.749
2017-04-01,244.051
2017-05-01,243.962
2017-06-01,244.182
2017-07-01,244.390
2017-08-01,245.297
2017-09-01,246.418
2017-10-01,246.587
2017-11-01,247.332
2017-12-01,247.901
2018-01-01,248.884
2018-02-01,249.369
2018-03-01,249.498
2018-04-01,249.956
2018-05-01,250.646
2018-06-01,251.134
2018-07-01,251.597
2018-08-01,251.879
2018-09-01,252.010
2018-10-01,252.794
2018-11-01,252.760
2018-12-01,252.723
2019-01-01,252.673
