DATE,FEDFUNDS
1998-07-01,5.54
1998-08-01,5.55
1998-09-01,5.51
1998-10-01,5.07
1998-11-01,4.83
1998-12-01,4.68
1999-01-01,4.63
1999-02-01,4.76
1999-03-01,4.81
1999-04-01,4.74
1999-05-01,4.74
1999-06-01,4.76
1999-07-01,4.99
1999-08-01,5.07
1999-09-01,5.22
1999-10-01,5.20
1999-11-01,5.42
1999-12-01,5.30
2000-01-01,5.45
2000-02-01,5.73
2000-03-01,5.85
2000-04-01,6.02
2000-05-01,6.27
2000-06-01,6.53
2000-07-01,6.54
2000-08-01,6.50
2000-09-01,6.52
2000-10-01,6.51
2000-11-01,6.51
2000-12-01,6.40
2001-01-01,5.98
2001-02-01,5.49
2001-03-01,5.31
2001-04-01,4.8
2001-05-01,4.21
2001-06-01,3.97
2001-07-01,3.77
2001-08-01,3.65
2001-09-01,3.07
2001-10-01,2.49
2001-11-01,2.09
2001-12-01,1.82
2002-01-01,1.73
2002-02-01,1.74
2002-03-01,1.73
2002-04-01,1.75
2002-05-01,1.75
2002-06-01,1.75
2002-07-01,1.73
2002-08-01,1.74
2002-09-01,1.75
2002-10-01,1.75
2002-11-01,1.34
2002-12-01,1.24
2003-01-01,1.24
2003-02-01,1.26
2003-03-01,1.25
2003-04-01,1.26
2003-05-01,1.26
2003-06-01,1.22
2003-07-01,1.01
2003-08-01,1.03
2003-09-01,1.01
2003-10-01,1.01
2003-11-01,1.00
2003-12-01,0.98
2004-01-01,1.00
2004-02-01,1.01
2004-03-01,1.00
2004-04-01,1.00
2004-05-01,1.00
2004-06-01,1.03
2004-07-01,1.26
2004-08-01,1.43
2004-09-01,1.61
2004-10-01,1.76
2004-11-01,1.93
2004-12-01,2.16
2005-01-01,2.28
2005-02-01,2.50
2005-03-01,2.63
2005-04-01,2.79
2005-05-01,3.00
2005-06-01,3.04
2005-07-01,3.26
2005-08-01,3.50
2005-09-01,3.62
2005-10-01,3.78
2005-11-01,4.00
2005-12-01,4.16
2006-01-01,4.29
2006-02-01,4.49
2006-03-01,4.59
2006-04-01,4.79
2006-05-01,4.94
2006-06-01,4.99
2006-07-01,5.24
2006-08-01,5.25
2006-09-01,5.25
2006-10-01,5.25
2006-11-01,5.25
2006-12-01,5.24
2007-01-01,5.25
2007-02-01,5.26
2007-03-01,5.26
2007-04-01,5.25
2007-05-01,5.25
2007-06-01,5.25
2007-07-01,5.26
2007-08-01,5.02
2007-09-01,4.94
2007-10-01,4.76
2007-11-01,4.49
2007-12-01,4.24
2008-01-01,3.94
2008-02-01,2.98
2008-03-01,2.61
2008-04-01,2.28
2008-05-01,1.98
2008-06-01,2.00
2008-07-01,2.01
2008-08-01,2.00
2008-09-01,1.81
2008-10-01,0.97
2008-11-01,0.39
2008-12-01,0.16
2009-01-01,0.15
2009-02-01,0.22
2009-03-01,0.18
2009-04-01,0.15
2009-05-01,0.18
2009-06-01,0.21
2009-07-01,0.16
2009-08-01,0.16
2009-09-01,0.15
2009-10-01,0.12
2009-11-01,0.12
2009-12-01,0.12
2010-01-01,0.11
2010-02-01,0.13
2010-03-01,0.16
2010-04-01,0.20
2010-05-01,0.20
2010-06-01,0.18
2010-07-01,0.18
2010-08-01,0.19
2010-09-01,0.19
2010-10-01,0.19
2010-11-01,0.19
2010-12-01,0.18
2011-01-01,0.17
2011-02-01,0.16
2011-03-01,0.14
2011-04-01,0.10
2011-05-01,0.09
2011-06-01,0.09
2011-07-01,0.07
2011-08-01,0.10
2011-09-01,0.08
2011-10-01,0.07
2011-11-01,0.08
2011-12-01,0.07
2012-01-01,0.08
2012-02-01,0.10
2012-03-01,0.13
2012-04-01,0.14
2012-05-01,0.16
2012-06-01,0.16
2012-07-01,0.16
2012-08-01,0.13
2012-09-01,0.14
2012-10-01,0.16
2012-11-01,0.16
2012-12-01,0.16
2013-01-01,0.14
2013-02-01,0.15
2013-03-01,0.14
2013-04-01,0.15
2013-05-01,0.11
2013-06-01,0.09
2013-07-01,0.09
2013-08-01,0.08
2013-09-01,0.08
2013-10-01,0.09
2013-11-01,0.08
2013-12-01,0.09
2014-01-01,0.07
2014-02-01,0.07
2014-03-01,0.08
2014-04-01,0.09
2014-05-01,0.09
2014-06-01,0.10
2014-07-01,0.09
2014-08-01,0.09
2014-09-01,0.09
2014-10-01,0.09
2014-11-01,0.09
2014-12-01,0.12
2015-01-01,0.11
2015-02-01,0.11
2015-03-01,0.11
2015-04-01,0.12
2015-05-01,0.12
2015-06-01,0.13
2015-07-01,0.13
2015-08-01,0.14
2015-09-01,0.14
2015-10-01,0.12
2015-11-01,0.12
2015-12-01,0.24
2016-01-01,0.34
2016-02-01,0.38
2016-03-01,0.36
2016-04-01,0.37
2016-05-01,0.37
2016-06-01,0.38
2016-07-01,0.39
2016-08-01,0.40
2016-09-01,0.40
2016-10-01,0.40
2016-11-01,0.41
2016-12-01,0.54
2017-01-01,0.65
2017-02-01,0.66
2017-03-01,0.79
2017-04-01,0.90
2017-05-01,0.91
2017-06-01,1.04
2017-07-01,1.15
2017-08-01,1.16
2017-09-01,1.15
2017-10-01,1.15
2017-11-01,1.16
2017-12-01,1.30
2018-01-01,1.41
2018-02-01,1.42
2018-03-01,1.51
2018-04-01,1.69
2018-05-01,1.70
2018-06-01,1.82
2018-07-01,1.91
2018-08-01,1.91
2018-09-01,1.95
2018-10-01,2.19
2018-11-01,2.20
2018-12-01,2.27
2019-01-01,2.40
2019-02-01,2.40
2019-03-01,2.41
2019-04-01,2.42
2019-05-01,2.39
2019-06-01,2.38
2019-07-01,2.40
2019-08-01,2.13
2019-09-01,2.04
2019-10-01,1.83
