DATE,USD1MTD156N
1998-01-02,5.71875
1998-01-05,5.69141
1998-01-06,5.66797
1998-01-07,5.62891
1998-01-08,5.62891
1998-01-09,5.59766
1998-01-12,5.58594
1998-01-13,5.59375
1998-01-14,5.60938
1998-01-15,5.59375
1998-01-16,5.61719
1998-01-19,5.61328
1998-01-20,5.61328
1998-01-21,5.62109
1998-01-22,5.60156
1998-01-23,5.60547
1998-01-26,5.62500
1998-01-27,5.62500
1998-01-28,5.62500
1998-01-29,5.62500
1998-01-30,5.59766
1998-02-02,5.61719
1998-02-03,5.62500
1998-02-04,5.62109
1998-02-05,5.62500
1998-02-06,5.62500
1998-02-09,5.62500
1998-02-10,5.62500
1998-02-11,5.62500
1998-02-12,5.62500
1998-02-13,5.62500
1998-02-16,5.61719
1998-02-17,5.61719
1998-02-18,5.62500
1998-02-19,5.62500
1998-02-20,5.62500
1998-02-23,5.62500
1998-02-24,5.62500
1998-02-25,5.63281
1998-02-26,5.67188
1998-02-27,5.68750
1998-03-02,5.68359
1998-03-03,5.68750
1998-03-04,5.68750
1998-03-05,5.68750
1998-03-06,5.68750
1998-03-09,5.68750
1998-03-10,5.68750
1998-03-11,5.68750
1998-03-12,5.68750
1998-03-13,5.68750
1998-03-16,5.68750
1998-03-17,5.68750
1998-03-18,5.68359
1998-03-19,5.68359
1998-03-20,5.68750
1998-03-23,5.68750
1998-03-24,5.68750
1998-03-25,5.68750
1998-03-26,5.68750
1998-03-27,5.68750
1998-03-30,5.68750
1998-03-31,5.68750
1998-04-01,5.68750
1998-04-02,5.67969
1998-04-03,5.65625
1998-04-06,5.65625
1998-04-07,5.65625
1998-04-08,5.65625
1998-04-09,5.65625
1998-04-10,.
1998-04-13,.
1998-04-14,5.65625
1998-04-15,5.65625
1998-04-16,5.65625
1998-04-17,5.65625
1998-04-20,5.65625
1998-04-21,5.65625
1998-04-22,5.65625
1998-04-23,5.65625
1998-04-24,5.65625
1998-04-27,5.65625
1998-04-28,5.65625
1998-04-29,5.65625
1998-04-30,5.65625
1998-05-01,5.65625
1998-05-04,.
1998-05-05,5.65234
1998-05-06,5.65625
1998-05-07,5.65234
1998-05-08,5.65234
1998-05-11,5.64453
1998-05-12,5.64063
1998-05-13,5.65625
1998-05-14,5.65625
1998-05-15,5.65625
1998-05-18,5.65625
1998-05-19,5.65625
1998-05-20,5.64844
1998-05-21,5.64844
1998-05-22,5.64844
1998-05-25,.
1998-05-26,5.64844
1998-05-27,5.64453
1998-05-28,5.65234
1998-05-29,5.65625
1998-06-01,5.65625
1998-06-02,5.65625
1998-06-03,5.65625
1998-06-04,5.65625
1998-06-05,5.65625
1998-06-08,5.65625
1998-06-09,5.65625
1998-06-10,5.65625
1998-06-11,5.65625
1998-06-12,5.65625
1998-06-15,5.65234
1998-06-16,5.65234
1998-06-17,5.64844
1998-06-18,5.65625
1998-06-19,5.65625
1998-06-22,5.65234
1998-06-23,5.65625
1998-06-24,5.65625
1998-06-25,5.65625
1998-06-26,5.68750
1998-06-29,5.66797
1998-06-30,5.66016
1998-07-01,5.66016
1998-07-02,5.65625
1998-07-03,5.65625
1998-07-06,5.65625
1998-07-07,5.65625
1998-07-08,5.65625
1998-07-09,5.65625
1998-07-10,5.65625
1998-07-13,5.65625
1998-07-14,5.65625
1998-07-15,5.65625
1998-07-16,5.65625
1998-07-17,5.65625
