DATE,MORTGAGE30US
1998-04-03,7.15
1998-04-10,7.09
1998-04-17,7.17
1998-04-24,7.15
1998-05-01,7.22
1998-05-08,7.14
1998-05-15,7.19
1998-05-22,7.10
1998-05-29,7.07
1998-06-05,7.05
1998-06-12,7.04
1998-06-19,6.94
1998-06-26,6.96
1998-07-03,6.98
1998-07-10,6.91
1998-07-17,6.94
1998-07-24,6.96
1998-07-31,6.97
1998-08-07,6.94
1998-08-14,6.91
1998-08-21,6.92
1998-08-28,6.92
1998-09-04,6.82
1998-09-11,6.77
1998-09-18,6.66
1998-09-25,6.64
1998-10-02,6.60
1998-10-09,6.49
1998-10-16,6.90
1998-10-23,6.73
1998-10-30,6.83
1998-11-06,6.89
1998-11-13,6.93
1998-11-20,6.86
1998-11-27,6.78
1998-12-04,6.71
1998-12-11,6.69
1998-12-18,6.69
1998-12-25,6.77
1998-12-31,6.83
1999-01-08,6.79
1999-01-15,6.83
1999-01-22,6.78
1999-01-29,6.74
1999-02-05,6.75
1999-02-12,6.77
1999-02-19,6.82
1999-02-26,6.89
1999-03-05,7.06
1999-03-12,7.11
1999-03-19,7.01
1999-03-26,6.98
1999-04-02,6.98
1999-04-09,6.92
1999-04-16,6.87
1999-04-23,6.88
1999-04-30,6.93
1999-05-07,7.02
1999-05-14,7.10
1999-05-21,7.23
1999-05-28,7.23
1999-06-04,7.41
1999-06-11,7.51
1999-06-18,7.65
1999-06-25,7.63
1999-07-02,7.71
1999-07-09,7.65
1999-07-16,7.58
1999-07-23,7.52
1999-07-30,7.70
1999-08-06,7.89
1999-08-13,8.15
1999-08-20,7.93
1999-08-27,7.80
1999-09-03,7.83
1999-09-10,7.88
1999-09-17,7.82
1999-09-24,7.76
1999-10-01,7.70
1999-10-08,7.82
1999-10-15,7.85
1999-10-22,7.93
1999-10-29,7.96
1999-11-05,7.84
1999-11-12,7.67
1999-11-19,7.69
1999-11-26,7.75
1999-12-03,7.84
1999-12-10,7.84
1999-12-17,7.86
1999-12-24,7.96
1999-12-31,8.06
2000-01-07,8.15
2000-01-14,8.18
2000-01-21,8.26
2000-01-28,8.25
2000-02-04,8.25
2000-02-11,8.36
2000-02-18,8.38
2000-02-25,8.31
2000-03-03,8.27
2000-03-10,8.23
2000-03-17,8.24
2000-03-24,8.23
2000-03-31,8.23
2000-04-07,8.20
2000-04-14,8.12
2000-04-21,8.16
2000-04-28,8.13
2000-05-05,8.28
2000-05-12,8.52
2000-05-19,8.64
2000-05-26,8.62
2000-06-02,8.54
2000-06-09,8.32
2000-06-16,8.22
2000-06-23,8.14
2000-06-30,8.22
2000-07-07,8.16
2000-07-14,8.09
2000-07-21,8.21
2000-07-28,8.13
2000-08-04,8.12
2000-08-11,8.04
2000-08-18,7.96
2000-08-25,7.99
2000-09-01,7.96
2000-09-08,7.94
2000-09-15,7.88
2000-09-22,7.90
2000-09-29,7.88
2000-10-06,7.83
2000-10-13,7.84
2000-10-20,7.83
2000-10-27,7.68
2000-11-03,7.73
2000-11-10,7.79
2000-11-17,7.73
2000-11-24,7.73
2000-12-01,7.65
2000-12-08,7.54
2000-12-15,7.42
2000-12-22,7.17
2000-12-29,7.13
2001-01-05,7.07
2001-01-12,6.89
2001-01-19,7.02
2001-01-26,7.15
2001-02-02,7.09
2001-02-09,6.98
2001-02-16,7.01
2001-02-23,7.12
2001-03-02,7.03
2001-03-09,6.97
2001-03-16,6.96
2001-03-23,6.89
2001-03-30,6.91
2001-04-06,7.01
2001-04-13,7.04
2001-04-20,7.14
2001-04-27,7.12
2001-05-04,7.14
2001-05-11,7.10
2001-05-18,7.14
2001-05-25,7.20
2001-06-01,7.24
2001-06-08,7.20
2001-06-15,7.14
2001-06-22,7.11
2001-06-29,7.11
2001-07-06,7.19
2001-07-13,7.21
2001-07-20,7.08
2001-07-27,7.03
2001-08-03,7.00
2001-08-10,7.00
2001-08-17,6.92
2001-08-24,6.91
2001-08-31,6.92
2001-09-07,6.89
2001-09-14,6.86
2001-09-21,6.80
2001-09-28,6.72
2001-10-05,6.64
2001-10-12,6.58
2001-10-19,6.61
2001-10-26,6.64
2001-11-02,6.56
2001-11-09,6.45
2001-11-16,6.51
2001-11-23,6.75
2001-11-30,7.02
2001-12-07,6.84
2001-12-14,7.09
2001-12-21,7.17
2001-12-28,7.16
2002-01-04,7.14
2002-01-11,7.06
2002-01-18,6.83
2002-01-25,6.96
2002-02-01,7.02
2002-02-08,6.88
2002-02-15,6.86
2002-02-22,6.81
2002-03-01,6.80
2002-03-08,6.87
2002-03-15,7.08
2002-03-22,7.14
2002-03-29,7.18
2002-04-05,7.13
2002-04-12,6.99
2002-04-19,6.94
2002-04-26,6.88
2002-05-03,6.78
2002-05-10,6.79
2002-05-17,6.89
2002-05-24,6.81
2002-05-31,6.76
2002-06-07,6.71
2002-06-14,6.71
2002-06-21,6.63
2002-06-28,6.55
2002-07-05,6.57
2002-07-12,6.54
2002-07-19,6.49
2002-07-26,6.34
2002-08-02,6.43
2002-08-09,6.31
2002-08-16,6.22
2002-08-23,6.27
2002-08-30,6.22
2002-09-06,6.15
2002-09-13,6.18
2002-09-20,6.05
2002-09-27,5.99
2002-10-04,6.01
2002-10-11,5.98
2002-10-18,6.15
2002-10-25,6.31
2002-11-01,6.13
2002-11-08,6.11
2002-11-15,5.94
2002-11-22,6.03
2002-11-29,6.13
2002-12-06,6.19
2002-12-13,6.04
2002-12-20,6.03
2002-12-27,5.93
2003-01-03,5.85
2003-01-10,5.95
2003-01-17,5.97
2003-01-24,5.91
2003-01-31,5.90
2003-02-07,5.88
2003-02-14,5.86
2003-02-21,5.84
2003-02-28,5.79
2003-03-07,5.67
2003-03-14,5.61
2003-03-21,5.79
2003-03-28,5.91
2003-04-04,5.79
2003-04-11,5.85
2003-04-18,5.82
2003-04-25,5.79
